Data,Quantidade,CanalPrimario,CanalSecundario,Total,Media
2021-01-13,5805840,,,5199900.2,895.63
2023-04-05,103121331,,,54727925.77,530.71
2021-10-10,19111200,,,3603134.04,188.54
2021-05-20,22611851,,,15052016.12,665.67
2021-03-22,11720082,,,10523475.59,897.9
2025-06-18,198781170,197993239.0,787931.0,102212518.92,514.2
2023-07-10,116598174,,,69202307.13,593.51
2024-12-30,189455916,188868788.0,587128.0,115345849.65,608.83
2023-11-25,121057077,120981725.0,75352.0,18693320.12,154.42
2022-06-21,56076397,,,29524688.02,526.51
2025-02-08,198661189,198497497.0,163692.0,31857917.81,160.36
2025-08-16,204223890,204076604.0,147286.0,29989623.49,146.85
2023-09-20,126921668,,,59362529.41,467.71
2024-05-25,143697082,143611077.0,86005.0,20977247.35,145.98
2025-01-31,199620332,198930008.0,690324.0,105004095.88,526.02
2021-06-28,20468798,,,16024633.57,782.88
2024-05-22,147339281,146864184.0,475097.0,58669253.67,398.19
2025-10-22,201294813,200849140.0,445673.0,90932039.64,451.74
2025-01-30,167351221,166981145.0,370076.0,82325903.33,491.93
2023-12-25,68424914,68370251.0,54663.0,8292374.38,121.19
2023-05-06,106360285,,,21087983.7,198.27
2024-10-08,182336194,182079032.0,257162.0,80987382.57,444.17
2025-04-13,137654062,137575650.0,78412.0,16017265.16,116.36
2021-11-18,33699447,,,19551388.88,580.17
2023-08-14,101349221,,,54676507.45,539.49
2022-09-02,74970357,,,39251708.75,523.56
2023-05-28,55973275,,,6340223.95,113.27
2023-05-08,106672835,,,56772415.25,532.21
2024-07-27,145310121,145238069.0,72052.0,20190134.82,138.95
2021-01-15,7415667,,,6936586.84,935.4
2022-07-24,33601812,,,4422755.25,131.62
2023-07-12,100713893,,,42500873.95,422.0
2022-02-07,51906698,,,33537624.18,646.11
2021-08-10,32201756,,,22303439.21,692.62
2023-03-03,97980380,,,49357155.82,503.75
2020-12-30,6255656,,,6014866.0,961.51
2021-05-23,9687561,,,1878443.76,193.9
2024-03-20,157655101,156980067.0,675034.0,76395951.64,484.58
2025-10-03,247728231,247073428.0,654803.0,123052631.53,496.72
2024-02-17,131309961,131240601.0,69360.0,19843889.97,151.12
2024-09-11,169675307,169040104.0,635203.0,74659067.65,440.01
2023-10-22,81711351,,,8768827.84,107.31
2022-01-07,52395441,,,31885441.48,608.55
2023-04-04,92407810,,,45019684.67,487.18
2022-06-14,53288588,,,29128608.98,546.62
2025-12-29,227091522,220112654.0,6978868.0,145472321.86,640.59
2024-03-17,100393615,100343152.0,50463.0,11085558.09,110.42
2025-02-06,218599878,218067809.0,532069.0,103366028.32,472.85
2021-05-25,19541194,,,13098410.02,670.3
2020-11-27,2639482,,,2890943.52,1095.27
2025-07-21,192254436,191660363.0,594073.0,120949989.17,629.11
2025-11-06,268047839,267240314.0,807525.0,129730525.47,483.98
2022-02-10,49092745,,,30023218.32,611.56
2025-03-10,216869750,216078988.0,790762.0,132925666.03,612.93
2021-09-13,29759311,,,20981291.21,705.03
2025-06-14,196523634,196392326.0,131308.0,29872049.11,152.0
2022-07-13,56346567,,,30709490.21,545.01
2023-01-24,70619716,,,33905691.28,480.12
2022-03-13,25779761,,,3889158.74,150.86
2025-07-22,185275290,185019138.0,256152.0,83687116.82,451.69
2025-12-02,234208845,233669070.0,539775.0,110343925.23,471.13
2021-01-01,1577421,,,610710.91,387.16
2021-11-10,42349180,,,28544583.68,674.03
2023-06-09,110381294,,,51455443.45,466.16
2025-11-30,179337478,178985662.0,351816.0,24492836.58,136.57
2024-09-06,227376170,226789905.0,586265.0,108417718.1,476.82
2021-02-11,8119021,,,6544735.63,806.1
2023-01-21,71640745,,,12263245.48,171.18
2023-09-15,128137551,,,66413371.71,518.3
2025-12-07,190375748,189976725.0,399023.0,25733609.5,135.17
2022-10-06,88671979,,,45118385.38,508.82
2022-10-02,37177387,,,5208965.53,140.11
2025-05-16,199975919,199651387.0,324532.0,92251928.63,461.32
2023-07-14,108940098,,,49278811.33,452.35
2020-11-23,1972991,,,2167485.89,1098.58
2022-08-01,64550187,,,44882060.04,695.3
2021-02-18,9285846,,,7944232.52,855.52
2024-06-02,110329545,109945287.0,384258.0,14306109.0,129.67
2025-01-27,154943575,154635730.0,307845.0,87243724.66,563.07
2025-09-26,210495368,210086638.0,408730.0,101075108.47,480.18
2025-04-04,248717662,248030285.0,687377.0,122892383.58,494.1
2020-12-27,1935748,,,569565.5,294.24
2023-08-15,104047337,,,51731345.71,497.19
2023-01-23,71006338,,,39552252.27,557.02
2025-07-20,145923253,145721223.0,202030.0,17777536.4,121.83
2023-06-08,85372604,,,16898926.86,197.94
2022-02-03,42233532,,,22616148.9,535.5
2025-12-09,228448083,227833135.0,614948.0,117613024.44,514.83
2024-05-13,144173978,143971193.0,202785.0,74064208.74,513.71
2021-03-05,16335450,,,13654324.96,835.87
2022-03-11,51391244,,,28592888.04,556.38
2023-06-12,101895881,,,61779825.57,606.3
2024-12-18,188054967,187330175.0,724792.0,91227914.07,485.11
2025-01-29,157077360,156366507.0,710853.0,69728693.94,443.91
2025-10-28,188497314,188120624.0,376690.0,92073530.93,488.46
2024-04-23,136961514,136845589.0,115925.0,56650092.36,413.62
2020-11-26,1990462,,,2299506.05,1155.26
2024-02-13,94165501,94104985.0,60516.0,12926437.06,137.27
2022-04-30,49194867,,,10741113.45,218.34
2024-01-10,144804253,144098144.0,706109.0,71485844.49,493.67
2023-02-01,86052389,,,44277349.54,514.54
2022-01-02,18394033,,,3351939.46,182.23
2024-08-05,178306855,177796123.0,510732.0,104727701.65,587.35
2023-01-22,46624278,,,5768798.3,123.73
2025-03-08,208234169,208055867.0,178302.0,35181757.12,168.95
2021-03-21,4978096,,,1187646.88,238.57
2025-10-30,201653137,200954203.0,698934.0,108711251.83,539.1
2021-04-24,11220168,,,2855316.92,254.48
2022-11-08,85671637,,,42681013.54,498.19
2023-05-31,104366539,,,53459573.59,512.23
2021-11-17,35973650,,,21869186.3,607.92
2025-03-11,188728947,188338647.0,390300.0,91234963.85,483.42
2025-08-18,189592882,189215852.0,377030.0,111424281.54,587.7
2025-08-24,146054984,145960782.0,94202.0,16255335.33,111.3
2020-12-02,3177418,,,3142714.99,989.08
2023-11-18,122174783,122109086.0,65697.0,19181116.75,157.0
2023-04-03,90265396,,,56609158.23,627.14
2022-11-09,81595291,,,37924268.1,464.79
2022-05-17,48644147,,,27449210.89,564.29
2024-12-15,137091977,136915532.0,176445.0,17845042.62,130.17
2021-05-02,7871527,,,1952873.89,248.09
2021-07-06,31329619,,,19484160.03,621.91
2024-01-11,129657569,129477460.0,180109.0,54412255.57,419.66
2022-01-06,40171241,,,22964780.74,571.67
2025-06-19,164095145,163960844.0,134301.0,26908979.4,163.98
2021-09-12,16043370,,,2837941.74,176.89
2024-04-17,142387452,141908984.0,478468.0,59309265.73,416.53
2022-08-21,37171856,,,5020566.93,135.06
2024-08-08,180400106,180139594.0,260512.0,72004945.6,399.14
2025-08-23,199374168,199243391.0,130777.0,27680650.5,138.84
2023-07-13,95614541,,,39851202.31,416.79
2024-08-31,170146071,170025515.0,120556.0,27608107.77,162.26
2022-04-14,56705932,,,31834465.31,561.4
2021-12-21,47408729,,,26159395.58,551.78
2022-01-03,36957068,,,26160407.44,707.86
2024-01-15,133804928,133471223.0,333705.0,74738455.12,558.56
2022-03-31,52839320,,,33454832.9,633.14
2025-03-06,235198691,229499452.0,5699239.0,125218614.74,532.4
2023-05-30,86095166,,,48686883.22,565.5
2025-12-05,313339828,311956546.0,1383282.0,179933516.31,574.24
2024-09-27,172815362,172573729.0,241633.0,81537331.82,471.82
2020-11-18,1551002,,,1535833.34,990.22
2024-06-25,146798840,146563640.0,235200.0,75390575.47,513.56
2025-02-07,226590221,226069028.0,521193.0,102545875.14,452.56
2024-05-16,147091534,146886087.0,205447.0,59746788.37,406.19
2022-09-23,69981808,,,33445891.82,477.92
2022-12-12,82662962,,,51724059.98,625.72
2024-09-09,181945864,181657086.0,288778.0,94072427.9,517.04
2025-07-13,140927934,140835196.0,92738.0,16520474.17,117.23
2025-01-02,160687951,160253381.0,434570.0,95902293.17,596.82
2023-06-10,98586095,,,17876172.27,181.33
2021-08-09,31424740,,,22009527.32,700.39
2023-10-23,111113386,,,57172982.55,514.55
2022-06-20,62189185,,,42335916.58,680.76
2021-02-14,3667793,,,955804.69,260.59
2022-09-22,63645472,,,29841381.82,468.87
2022-01-30,21636712,,,3544507.56,163.82
2023-03-04,83969327,,,16305781.86,194.19
2025-11-07,276199323,275435791.0,763532.0,130871330.21,473.83
2025-08-15,223433914,222665248.0,768666.0,114107824.7,510.7
2021-08-08,15210008,,,3004509.8,197.54
2022-10-30,38576269,,,5057703.63,131.11
2023-04-27,83728828,,,41054871.76,490.33
2024-12-17,182515908,182201412.0,314496.0,88005850.12,482.18
2025-04-10,205998321,205256403.0,741918.0,110703346.96,537.4
